sep=;
Change-Id=I8e66be2f2cfcf816a9dd49e37b5d7bc7bc2c16c3; subject=IB/uverbs: Add support for extended atomics; feature=extended_atomics; upstream_status=NA; general=;
Change-Id=I101b209c198e6fb5d4e5fe31a3db58c34e5587ad; subject=IB/mlx4: Add support for extended atomics; feature=extended_atomics; upstream_status=NA; general=;
Change-Id=Ie423e51eafce878349ef3401c9d6146c7e5fefe0; subject=IB/mlx4: Enable allocation of DBs and BF pages from user context; feature=resource_domain; upstream_status=NA; general=;
Change-Id=If0bf59d4f124c192b87f2abe577baa53527066d4; subject=IB/core: Add max_ctx_res_domain to query device; feature=resource_domain; upstream_status=NA; general=;
Change-Id=Ic6579d488760b0d6672903a96d808ac751379e96; subject=IB/mlx4: Add max_ctx_res_domain to query device; feature=resource_domain; upstream_status=NA; general=;
Change-Id=Ic62be1e6053f6b59576450f27937034d059a303d; subject=IB/mlx4: Assign user allocated DB and BF to QP; feature=resource_domain; upstream_status=NA; general=;
Change-Id=I706881fb0d6b694b957384f01dd3756703114c55; subject=IB: Add support for EXP masked atomic fields; feature=mask_atomics; upstream_status=NA; general=;
Change-Id=Ie67221661d716442631ec8407b2e24cf7df5d4e1; subject=IB/uverbs: Add EXP mask atomics; feature=mask_atomics; upstream_status=NA; general=;
Change-Id=I6a3b3491931b7316e5fc9e7cf3c9468dadd3ca46; subject=IB/mlx4: Add EXP mask atomics; feature=mask_atomics; upstream_status=NA; general=;
Change-Id=Ide6382d8f9a2cbfd998487a45a271d6e3312888d; subject=IB/core: Add EXP max_device_ctx; feature=max_device_ctx; upstream_status=NA; general=;
Change-Id=I4d35f9901d669d579323a3ac718509abddc872cc; subject=IB/uverbs: Add EXP max_device_ctx; feature=max_device_ctx; upstream_status=NA; general=;
Change-Id=Id5d35b60c039da275aeb93ef8a79a401d91304dd; subject=IB/mlx4: Add EXP max_device_ctx; feature=max_device_ctx; upstream_status=NA; general=;
Change-Id=I5a5d66d14f64b5424ba2bee51abadbc383d67363; subject=IB/mlx4: Report checksum CAPs; feature=checksum_offload; upstream_status=NA; general=;
Change-Id=I52cae6f0bd7094742f4a762cad7b83e0c87b7f09; subject=IB/mlx4: Report VXLAN CAPs; feature=vxlan_cx3; upstream_status=NA; general=;
Change-Id=I920c4a878af21a5241f9e2f377f9a11d07785de6; subject=IB/core: Introduce peer client interface; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=Idcba9c19e5631f5e2d79ae1ccca658185357f1c3; subject=IB/core: Get/put peer memory client; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I663c76235e25ccb66e0f0b228934da1c20a9dcf4; subject=IB/core: Umem tunneling peer memory APIs; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I182c14258a7cf181987cd9ffc463705cab76859e; subject=IB/core: Infrastructure to manage peer core context; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I88849f0dd5a328512e433f68fdd6e471eced7f82; subject=IB/core: Invalidation support for peer memory; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I19f19b3b84f8ac5551deb6e1678309f055f432b8; subject=IB/core: Sysfs support for peer memory; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I29b0a9a6b9ae8b935f24f1613b54fbf85d29fd06; subject=IB/mlx4: Invalidation support for MR over peer memory; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I3b50ad19c9bfb3a0d6f2141823ac75f8b6553a88; subject=IB/mlx5: Invalidation support for MR over peer memory; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I918f77238c183fbdeab91d45e98b6becd5e65e0f; subject=IB/mlx4: Add missing code to enable IB flow rules; feature=mlx4_flow_spec_gap; upstream_status=NA; general=;
Change-Id=I4e14ab2aa46b1c4ff5a8305bdf9b59ddca4e568c; subject=IB/mlx5: Add support for underlay QP managing; feature=ud_flow_steering; upstream_status=NA; general=;
Change-Id=Ibf1f34b22cbe96656527250cc12381e57d35b0bc; subject=IB/mlx5: Report RX checksum capabilities for IPoIB; feature=ud_flow_steering; upstream_status=NA; general=;
Change-Id=I7488d04c283ab764b76debf6b0dc755724169cda; subject=net/mlx5: Fix XRC SRQ umem valid bits; feature=devx; upstream_status=accepted; general=upstream commit ID: 99b77fef3c6c, tag: v4.20-rc7;
Change-Id=Icb94f333341502cb712af2cb8c6b3091a0ff8a93; subject=IB/mlx5: Fix packet pacing EXP flow; feature=mlx5_exp_packet_pacing; upstream_status=NA; general=;
Change-Id=I7c3521394acd30d4a05e5e389ca2ffe5fdba5646; subject=IB/mlx5: Block DEVX umem from the non applicable cases; feature=rebase; upstream_status=accepted; general=upstream commit ID: 47f07f03b5ee, tag: v4.20-rc7;
Change-Id=Iabbd2ff5e87e3cb130677b76c95d9b53767a21b1; subject=net/mlx5: Update mlx5_ifc with DEVX UCTX capabilities bits; feature=devx; upstream_status=accepted; general=upstream commit ID: 9d43faac02e3, tag: v5.0-rc1;
Change-Id=I77699375ed502629a18450d9c427d4927af13a38; subject=IB/mlx5: Enforce DEVX privilege by firmware; feature=devx; upstream_status=accepted; general=upstream commit ID: fb98153bbf28, tag: v5.0-rc1;
Change-Id=Ie69fffdcbe2600bee2954992dc7f31d84632be50; subject=IB/core: Introduce UVERBS_IDR_ANY_OBJECT; feature=devx; upstream_status=accepted; general=upstream commit ID: 4d7e8cc57429, tag: v5.0-rc1;
Change-Id=I1569829b580a00fdc3a307b35725455944cb3faf; subject=IB/core: Enable getting an object type from a given uobject; feature=devx; upstream_status=accepted; general=upstream commit ID: 04ca16cc198c, tag: v5.0-rc1;
Change-Id=I7e24e25f4ccad00794de7d2531b73318c9ec53cc; subject=IB/mlx5: Enable modify and query verbs objects via DEVX; feature=devx; upstream_status=accepted; general=upstream commit ID: 34613eb1d2ad, tag: v5.0-rc1;
Change-Id=I3536c31639b55060b0ef065cea1ac0052ca81131; subject=IB/mlx5: Update the supported DEVX commands; feature=devx; upstream_status=accepted; general=upstream commit ID: 719598c98d19, tag: v5.0-rc1;
Change-Id=If598ef13c507741078b07871c36ff7354d281a76; subject=IB/mlx5: Allow XRC usage via verbs in DEVX context; feature=devx; upstream_status=accepted; general=upstream commit ID: 5aa3771ded54, tag: v5.0-rc1;
Change-Id=Idf1fc5bc755bf2b81cd5c880445311dc2787b7a0; subject=IB/mlx5: Introduce uid as part of alloc/dealloc transport domain; feature=devx; upstream_status=accepted; general=upstream commit ID: 71bef2fd583b, tag: v5.0-rc1;
Change-Id=I8944601b1bd2d586526cc29b08730b52e2766e23; subject=IB/mlx5: Use uid as part of alloc/dealloc transport domain; feature=devx; upstream_status=accepted; general=upstream commit ID: 425518cc5ede, tag: v5.0-rc1;
Change-Id=Ie76d50f51947146b93e01a8eb82c29307ea885e8; subject=IB/mlx5: Use the correct commands for UMEM and UCTX allocation; feature=devx; upstream_status=accepted; general=upstream commit ID: 6e3722baac04, tag: v5.0-rc1;
Change-Id=I52f35266eeb84c3cb2eb47792b06aa8e981df866; subject=IB/mlx5: Allocate the per-port Q counter shared when DEVX is supported; feature=devx; upstream_status=accepted; general=upstream commit ID: aa74be6eeade, tag: v5.0-rc1;
Change-Id=I742bfbe3cad4d30cc37928bf390ccf86351f45a5; subject=IB/mlx5: DEVX handling for indirection MKEY; feature=devx; upstream_status=accepted; general=upstream commit ID: fa31f14380be, tag: v5.1-rc1;
Change-Id=I87c1a67586f538c22027569b67bc9474b1f7256e; subject=IB/mlx5: Manage indirection mkey upon DEVX flow for ODP; feature=devx; upstream_status=accepted; general=upstream commit ID: 534fd7aac56a, tag: v5.1-rc1;
Change-Id=I090e3ffe3fcfea13d01834e946fb8e8a587aff9f; subject=IB/mlx5: Add support for ODP for DEVX indirection mkey; feature=devx; upstream_status=accepted; general=upstream commit ID: 414556af5f27, tag: v5.1-rc1;
Change-Id=Icc18e49230e47d7822b2dbcb5c5f90f5f408a6f3; subject=net/mlx5: Make mlx5_cmd_exec_cb() a safe API; feature=devx; upstream_status=accepted; general=upstream commit ID: e355477ed9e4, tag: v5.1-rc1;
Change-Id=I06ecddaec74c6dc06d72b897a0f97f76762f85e5; subject=IB/mlx5: Introduce MLX5_IB_OBJECT_DEVX_ASYNC_CMD_FD; feature=devx; upstream_status=accepted; general=upstream commit ID: 6bf8f22aea0d, tag: v5.1-rc1;
